attack_name,attack_param,image_file,accuracy,ber
brightness,0.5,0000.png,1.0,0.0
brightness,0.5,0001.png,1.0,0.0
brightness,0.5,0002.png,1.0,0.0
brightness,0.5,0003.png,1.0,0.0
brightness,0.5,0004.png,1.0,0.0
brightness,0.5,0005.png,1.0,0.0
brightness,0.5,0006.png,1.0,0.0
brightness,0.5,0007.png,1.0,0.0
brightness,0.5,0008.png,1.0,0.0
brightness,0.5,0009.png,1.0,0.0
brightness,0.5,0010.png,1.0,0.0
brightness,0.5,0011.png,1.0,0.0
brightness,0.5,0012.png,1.0,0.0
brightness,0.5,0013.png,1.0,0.0
brightness,0.5,0014.png,1.0,0.0
brightness,0.5,0015.png,1.0,0.0
brightness,0.5,0016.png,1.0,0.0
brightness,0.5,0017.png,1.0,0.0
brightness,0.5,0018.png,1.0,0.0
brightness,0.5,0019.png,1.0,0.0
brightness,0.5,0020.png,1.0,0.0
brightness,0.5,0021.png,1.0,0.0
brightness,0.5,0022.png,1.0,0.0
brightness,0.5,0023.png,1.0,0.0
brightness,0.5,0024.png,0.99609375,0.00390625
brightness,0.5,0025.png,1.0,0.0
brightness,0.5,0026.png,1.0,0.0
brightness,0.5,0027.png,1.0,0.0
brightness,0.5,0028.png,1.0,0.0
brightness,0.5,0029.png,1.0,0.0
brightness,0.5,0030.png,0.91015625,0.08984375
brightness,0.5,0031.png,1.0,0.0
brightness,0.5,0032.png,1.0,0.0
brightness,0.5,0033.png,1.0,0.0
brightness,0.5,0034.png,1.0,0.0
brightness,0.5,0035.png,1.0,0.0
brightness,0.5,0036.png,1.0,0.0
brightness,0.5,0037.png,1.0,0.0
brightness,0.5,0038.png,1.0,0.0
brightness,0.5,0039.png,1.0,0.0
brightness,0.5,0040.png,1.0,0.0
brightness,0.5,0041.png,1.0,0.0
brightness,0.5,0042.png,1.0,0.0
brightness,0.5,0043.png,1.0,0.0
brightness,0.5,0044.png,1.0,0.0
brightness,0.5,0045.png,1.0,0.0
brightness,0.5,0046.png,0.99609375,0.00390625
brightness,0.5,0047.png,1.0,0.0
brightness,0.5,0048.png,1.0,0.0
brightness,0.5,0049.png,1.0,0.0
brightness,0.5,0050.png,1.0,0.0
brightness,0.5,0051.png,1.0,0.0
brightness,0.5,0052.png,1.0,0.0
brightness,0.5,0053.png,1.0,0.0
brightness,0.5,0054.png,1.0,0.0
brightness,0.5,0055.png,1.0,0.0
brightness,0.5,0056.png,1.0,0.0
brightness,0.5,0057.png,1.0,0.0
brightness,0.5,0058.png,1.0,0.0
brightness,0.5,0059.png,1.0,0.0
brightness,0.5,0060.png,1.0,0.0
brightness,0.5,0061.png,1.0,0.0
brightness,0.5,0062.png,1.0,0.0
brightness,0.5,0063.png,1.0,0.0
brightness,0.5,0064.png,1.0,0.0
brightness,0.5,0065.png,1.0,0.0
brightness,0.5,0066.png,1.0,0.0
brightness,0.5,0067.png,1.0,0.0
brightness,0.5,0068.png,1.0,0.0
brightness,0.5,0069.png,1.0,0.0
brightness,0.5,0070.png,1.0,0.0
