attack_name,attack_param,tpr,tpr_ci_lower,tpr_ci_upper,n_samples
brightness,0.5,0.99943359375,0.9985423512069935,1.0,200
brightness,2.0,0.9976953125,0.99501233790707,1.0,200
crop,0.8,0.51482421875,0.5102285514785347,0.5194198860214652,200
gaussian_blur,2.0,0.99828125,0.9962493643018625,1.0,200
gaussian_blur,4.0,0.9819921875,0.9777250431986089,0.986259331801391,200
gaussian_noise,0.01,0.998515625,0.9961132867513327,1.0,200
gaussian_noise,0.03,0.99634765625,0.9923513914017565,1.0,200
gaussian_noise,0.05,0.993125,0.9890103044294329,0.9972396955705671,200
jpeg,25.0,0.98646484375,0.9809785208665747,0.9919511666334253,200
jpeg,50.0,0.995,0.9905073951001447,0.9994926048998553,200
jpeg,75.0,0.9972265625,0.993810557485576,1.0,200
jpeg,90.0,0.9983203125,0.9956056738838621,1.0,200
